Gender,Married,Dependents,Education,Self_Employed,Applicant_Income,Coapplicant_Income,Loan_Amount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Total_Income,Full_Loan_Amount,Monthly_Payment,Debt_To_Income_Ratio,Gender_N,Married_N,Self_Employed_N,Education_N,Loan_Status_N
Female,No,0,Graduate,No,2378,0.0,9,360,1,Urban,N,2378.0,9000,25.0,1.05,0,0,0,1,0
Male,Yes,2,Graduate,No,1299,1086.0,17,120,1,Urban,Y,2385.0,17000,141.67,5.94,1,1,0,1,1
Male,No,0,Not Graduate,No,3620,0.0,25,120,1,Semiurban,Y,3620.0,25000,208.33,5.75,1,0,0,0,1
Male,Yes,0,Graduate,Yes,3459,0.0,25,120,1,Semiurban,Y,3459.0,25000,208.33,6.02,1,1,1,1,1
Male,Yes,1,Graduate,No,5468,1032.0,26,360,1,Semiurban,Y,6500.0,26000,72.22,1.11,1,1,0,1,1
Male,Yes,1,Graduate,No,1538,1425.0,30,360,1,Urban,Y,2963.0,30000,83.33,2.81,1,1,0,1,1
Female,No,0,Graduate,No,3237,0.0,30,360,1,Urban,Y,3237.0,30000,83.33,2.57,0,0,0,1,1
Male,No,0,Not Graduate,No,1442,0.0,35,360,1,Urban,N,1442.0,35000,97.22,6.74,1,0,0,0,0
Female,Yes,0,Graduate,No,3166,0.0,36,360,1,Semiurban,Y,3166.0,36000,100.0,3.16,0,1,0,1,1
Female,No,1,Graduate,No,13262,0.0,40,360,1,Urban,Y,13262.0,40000,111.11,0.84,0,0,0,1,1
Male,Yes,4,Graduate,No,4106,0.0,40,180,1,Rural,Y,4106.0,40000,222.22,5.41,1,1,0,1,1
Male,Yes,0,Graduate,No,3716,0.0,42,180,1,Rural,Y,3716.0,42000,233.33,6.28,1,1,0,1,1
Male,Yes,1,Graduate,No,5649,0.0,44,360,1,Urban,Y,5649.0,44000,122.22,2.16,1,1,0,1,1
Female,No,0,Graduate,No,4166,0.0,44,360,1,Semiurban,Y,4166.0,44000,122.22,2.93,0,0,0,1,1
Male,Yes,2,Not Graduate,No,2889,0.0,45,180,0,Urban,N,2889.0,45000,250.0,8.65,1,1,0,0,0
Male,Yes,2,Not Graduate,No,2192,1742.0,45,360,1,Semiurban,Y,3934.0,45000,125.0,3.18,1,1,0,0,1
Female,No,0,Graduate,No,2378,0.0,46,360,1,Rural,N,2378.0,46000,127.78,5.37,0,0,0,1,0
Male,No,0,Graduate,No,1800,1213.0,47,360,1,Urban,Y,3013.0,47000,130.56,4.33,1,0,0,1,1
Male,No,0,Not Graduate,No,4885,0.0,48,360,1,Rural,Y,4885.0,48000,133.33,2.73,1,0,0,0,1
Male,Yes,1,Graduate,No,3988,0.0,50,240,1,Urban,Y,3988.0,50000,208.33,5.22,1,1,0,1,1
Male,Yes,0,Graduate,No,1977,997.0,50,360,1,Semiurban,Y,2974.0,50000,138.89,4.67,1,1,0,1,1
Male,No,0,Graduate,No,3254,0.0,50,360,1,Urban,Y,3254.0,50000,138.89,4.27,1,0,0,1,1
Male,No,0,Graduate,No,1926,1851.0,50,360,1,Semiurban,Y,3777.0,50000,138.89,3.68,1,0,0,1,1
Female,No,0,Not Graduate,No,1963,0.0,53,360,1,Semiurban,Y,1963.0,53000,147.22,7.5,0,0,0,0,1
Female,No,0,Graduate,No,1811,1666.0,54,360,1,Urban,Y,3477.0,54000,150.0,4.31,0,0,0,1,1
Male,No,0,Not Graduate,No,3975,2531.0,55,360,1,Rural,Y,6506.0,55000,152.78,2.35,1,0,0,0,1
Female,No,0,Graduate,Yes,15759,0.0,55,360,1,Semiurban,Y,15759.0,55000,152.78,0.97,0,0,1,1,1
Male,Yes,0,Graduate,No,3539,1376.0,55,360,1,Rural,N,4915.0,55000,152.78,3.11,1,1,0,1,0
Male,No,0,Graduate,No,2500,0.0,55,360,1,Semiurban,Y,2500.0,55000,152.78,6.11,1,0,0,1,1
Female,No,0,Graduate,No,2507,0.0,56,360,1,Rural,Y,2507.0,56000,155.56,6.21,0,0,0,1,1
Male,Yes,0,Graduate,No,3000,3416.0,56,180,1,Semiurban,Y,6416.0,56000,311.11,4.85,1,1,0,1,1
Male,Yes,0,Graduate,No,2383,2138.0,58,360,1,Rural,Y,4521.0,58000,161.11,3.56,1,1,0,1,1
Male,No,0,Graduate,No,2479,0.0,59,360,1,Urban,Y,2479.0,59000,163.89,6.61,1,0,0,1,1
Male,Yes,0,Graduate,No,2221,0.0,60,360,0,Urban,N,2221.0,60000,166.67,7.5,1,1,0,1,0
