Dependents,Applicant_Income,Coapplicant_Income,Loan_Amount,Loan_Amount_Term,Credit_History,Total_Income,Full_Loan_Amount,Monthly_Payment,Debt_To_Income_Ratio,PA_Rural,PA_Semiurban,PA_Urban,Gender_N,Married_N,Self_Employed_N,Education_N,Loan_Status_N
0,2378,0.0,9,360,1,2378.0,9000,25.0,1.05,0,0,1,0,0,0,1,0
2,1299,1086.0,17,120,1,2385.0,17000,141.67,5.94,0,0,1,1,1,0,1,1
0,3620,0.0,25,120,1,3620.0,25000,208.33,5.75,0,1,0,1,0,0,0,1
0,3459,0.0,25,120,1,3459.0,25000,208.33,6.02,0,1,0,1,1,1,1,1
1,5468,1032.0,26,360,1,6500.0,26000,72.22,1.11,0,1,0,1,1,0,1,1
1,1538,1425.0,30,360,1,2963.0,30000,83.33,2.81,0,0,1,1,1,0,1,1
0,3237,0.0,30,360,1,3237.0,30000,83.33,2.57,0,0,1,0,0,0,1,1
0,1442,0.0,35,360,1,1442.0,35000,97.22,6.74,0,0,1,1,0,0,0,0
0,3166,0.0,36,360,1,3166.0,36000,100.0,3.16,0,1,0,0,1,0,1,1
1,13262,0.0,40,360,1,13262.0,40000,111.11,0.84,0,0,1,0,0,0,1,1
4,4106,0.0,40,180,1,4106.0,40000,222.22,5.41,1,0,0,1,1,0,1,1
0,3716,0.0,42,180,1,3716.0,42000,233.33,6.28,1,0,0,1,1,0,1,1
1,5649,0.0,44,360,1,5649.0,44000,122.22,2.16,0,0,1,1,1,0,1,1
0,4166,0.0,44,360,1,4166.0,44000,122.22,2.93,0,1,0,0,0,0,1,1
2,2889,0.0,45,180,0,2889.0,45000,250.0,8.65,0,0,1,1,1,0,0,0
2,2192,1742.0,45,360,1,3934.0,45000,125.0,3.18,0,1,0,1,1,0,0,1
0,2378,0.0,46,360,1,2378.0,46000,127.78,5.37,1,0,0,0,0,0,1,0
0,1800,1213.0,47,360,1,3013.0,47000,130.56,4.33,0,0,1,1,0,0,1,1
0,4885,0.0,48,360,1,4885.0,48000,133.33,2.73,1,0,0,1,0,0,0,1
1,3988,0.0,50,240,1,3988.0,50000,208.33,5.22,0,0,1,1,1,0,1,1
0,1977,997.0,50,360,1,2974.0,50000,138.89,4.67,0,1,0,1,1,0,1,1
0,3254,0.0,50,360,1,3254.0,50000,138.89,4.27,0,0,1,1,0,0,1,1
0,1926,1851.0,50,360,1,3777.0,50000,138.89,3.68,0,1,0,1,0,0,1,1
0,1963,0.0,53,360,1,1963.0,53000,147.22,7.5,0,1,0,0,0,0,0,1
0,1811,1666.0,54,360,1,3477.0,54000,150.0,4.31,0,0,1,0,0,0,1,1
0,3975,2531.0,55,360,1,6506.0,55000,152.78,2.35,1,0,0,1,0,0,0,1
0,15759,0.0,55,360,1,15759.0,55000,152.78,0.97,0,1,0,0,0,1,1,1
0,3539,1376.0,55,360,1,4915.0,55000,152.78,3.11,1,0,0,1,1,0,1,0
0,2500,0.0,55,360,1,2500.0,55000,152.78,6.11,0,1,0,1,0,0,1,1
0,2507,0.0,56,360,1,2507.0,56000,155.56,6.21,1,0,0,0,0,0,1,1
0,3000,3416.0,56,180,1,6416.0,56000,311.11,4.85,0,1,0,1,1,0,1,1
